name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model,prompt_type
6fac_psg,6fac9b0e,phi4_9caa_psg_batch,failure,106.68,4847,900,3947,0.0,0,0,T,psg,phi4,abla-1p
9305_psg,930503bb,phi4_9caa_psg_batch,failure,81.79,4847,900,3947,0.0,0,0,T,psg,phi4,abla-1p
d977_psg,d9772ac1,phi4_9caa_psg_batch,failure,82.62,4863,900,3963,0.0,0,0,T,psg,phi4,abla-1p
6562_psg,65626434,phi4_9caa_psg_batch,failure,81.85,4851,900,3951,0.0,0,0,T,psg,phi4,abla-1p
9015_psg,901597c7,phi4_9caa_psg_batch,failure,82.26,4863,900,3963,0.0,0,0,T,psg,phi4,abla-1p
e50c_psg,e50c323e,phi4_9caa_psg_batch,failure,81.97,4847,900,3947,0.0,0,0,T,psg,phi4,abla-1p
0ac2_psg,0ac2fb97,phi4_9caa_psg_batch,failure,81.61,4843,900,3943,0.0,0,0,T,psg,phi4,abla-1p
f0f3_psg,f0f324e5,phi4_9caa_psg_batch,failure,81.68,4851,900,3951,0.0,0,0,T,psg,phi4,abla-1p
ce24_psg,ce248550,phi4_9caa_psg_batch,failure,81.84,4843,900,3943,0.0,0,0,T,psg,phi4,abla-1p
cf87_psg,cf87be65,phi4_9caa_psg_batch,failure,81.72,4847,900,3947,0.0,0,0,T,psg,phi4,abla-1p
9ec9_psg,9ec97a25,phi4_9caa_psg_batch,failure,81.72,4843,900,3943,0.0,0,0,T,psg,phi4,abla-1p
